model,parameters,open_source,ABench,AI2D,BLINK,CCBench,COCO_VAL,ChartQA_TEST,HallusionBench,LLaVABench,MMBench_TEST_CN,MMBench_TEST_CN_V11,MMBench_TEST_EN,MMBench_TEST_EN_V11,MME,MMMU_VAL,MMStar,MMT-Bench_VAL,MMVet,MTVQA,MathVista,OCRBench,OCRVQA_TESTCORE,POPE,QBench,RealWorldQA,SEEDBench2,SEEDBench2_Plus,SEEDBench_IMG,ScienceQA_TEST,ScienceQA_VAL,TextVQA_VAL,VCR,coverage
Mantis-8B-siglip-llama3,8B,Yes,71.1,60.4,47.1,37.3,18.2,42.9,34.2,55.5,65.3,63.1,69.0,66.1,1674.6,41.1,41.3,51.6,34.4,4.6,32.7,171,58.5,84.0,70.9,52.2,56.2,44.7,68.5,75.5,73.0,50.5,8.6,31
Phi-3-Vision,4.2B,Yes,68.2,78.4,43.3,24.1,15.8,81.8,39.0,63.9,62.4,59.8,73.6,70.5,1508.0,46.1,47.7,54.2,44.1,13.9,44.8,195,61.9,83.7,67.7,58.8,55.7,64.2,70.9,90.0,90.2,72.4,68.9,31
InternVL2-Llama3-76B,76B,Yes,73.9,87.6,57.5,81.2,15.2,88.1,55.4,96.3,86.5,85.5,86.5,85.5,2397.6,58.3,67.1,67.6,64.4,22.8,65.6,245,43.7,87.3,76.4,72.7,63.0,70.0,77.6,98.8,98.2,84.2,90.6,31
LLaVA-v1.5-7B,7.2B,Yes,65.6,55.5,39.7,17.8,19.8,17.8,27.6,61.8,46.4,43.9,66.5,62.3,1808.4,35.7,33.1,48.9,32.9,6.0,25.5,159,60.6,86.1,58.6,54.8,43.4,41.3,65.8,69.2,66.6,45.5,19.5,31
LLaVA-Next-Mistral-7B,7.6B,Yes,68.3,69.0,41.7,30.0,14.5,51.8,29.1,67.8,63.3,59.8,69.6,66.5,1821.2,37.0,38.4,50.3,42.2,11.7,34.9,191,61.2,87.3,63.2,60.0,54.7,49.3,72.4,73.0,69.5,65.2,59.9,31
LLaVA-Next-Vicuna-13B,13.4B,Yes,64.3,72.2,41.2,28.8,14.4,61.4,31.8,73.9,68.5,65.7,70.0,67.3,1745.6,37.3,40.4,52.1,44.9,13.1,35.1,169,65.3,87.8,64.6,57.6,55.0,55.6,71.4,73.7,71.4,66.9,57.7,31
LLaVA-Next-Interleave-7B,8B,Yes,68.9,73.8,51.3,44.3,14.3,49.2,34.8,71.5,72.5,69.4,74.7,72.8,1749.5,41.7,44.5,53.0,39.1,6.0,34.0,164,60.6,85.5,73.1,57.6,59.9,51.3,72.0,73.2,68.2,56.7,31.3,31
InternVL-Chat-V1.5,26B,Yes,71.7,80.6,46.6,69.8,15.9,83.9,47.4,83.3,80.7,79.1,82.3,80.3,2189.6,46.8,57.1,57.8,55.4,17.4,56.1,238,64.2,87.5,72.5,65.6,59.1,66.4,75.2,93.9,93.7,80.4,52.0,31
Eagle-X5-13B,15B,Yes,70.8,77.2,21.8,30.0,37.4,69.6,37.8,70.2,67.4,65.2,72.6,70.0,1847.8,39.7,43.7,53.7,42.6,15.3,40.8,155,65.0,89.8,67.4,62.9,44.5,60.2,74.0,71.8,70.6,71.8,,30
Ovis1.6-Llama3.2-3B,4.1B,Yes,75.2,77.8,43.8,36.3,14.0,75.6,43.8,84.2,74.7,71.9,78.5,76.2,1951.4,46.7,52.0,59.2,57.6,21.1,58.9,250,66.7,88.2,75.8,66.7,53.7,63.7,74.5,87.6,86.3,74.2,,30
SmolVLM-Instruct,2.3B,Yes,65.0,64.2,42.8,20.8,5.0,71.8,39.5,53.9,51.9,50.3,67.5,64.4,1641.0,38.8,41.7,51.5,33.8,10.0,43.6,249,0.1,85.5,59.5,54.9,54.7,57.5,68.5,84.5,79.6,72.1,,30
SmolVLM-Instruct-DPO,2.3B,Yes,64.7,62.2,43.6,19.6,5.3,58.0,39.8,52.7,49.8,48.1,65.0,62.6,1604.3,39.7,39.2,49.6,29.3,7.2,42.9,243,0.1,81.5,58.9,47.6,53.2,46.1,66.3,82.9,78.5,59.2,,30
Gemma3-27B,27.4B,Yes,76.3,81.4,53.5,53.3,19.0,30.1,48.8,103.1,80.7,78.2,82.3,79.6,2148.5,64.8,59.6,60.8,71.0,28.9,59.8,253,13.5,84.2,72.0,62.5,59.9,67.0,73.1,87.7,87.1,66.7,,30
SmolVLM-Synthetic,2.3B,Yes,58.9,50.8,38.5,10.6,15.6,14.2,34.8,52.8,36.9,35.3,53.7,51.0,1459.4,38.6,34.9,46.4,29.3,7.0,31.5,146,0.5,63.5,47.5,44.2,44.7,47.6,59.2,66.4,62.5,40.5,,30
AKI-4B,4.33B,Yes,62.4,56.5,39.7,25.7,42.8,16.2,33.9,66.1,46.8,45.3,68.8,65.9,1795.6,36.3,37.8,47.6,36.2,2.3,28.5,162,58.1,85.4,65.2,56.6,52.0,37.2,66.8,87.3,86.3,43.9,,30
Qwen-VL-Chat,9.6B,Yes,63.1,63.0,28.2,41.2,75.8,49.8,36.8,67.7,56.3,57.5,61.8,60.8,1860.0,37.0,34.5,47.6,47.3,12.5,35.3,171,58.6,74.9,60.3,49.3,,46.0,64.8,68.8,65.5,60.7,66.8,30
Aquila-VL-2B,2.2B,Yes,75.4,75.1,34.1,43.5,10.5,32.0,43.0,68.8,76.3,74.1,79.0,76.3,1801.1,46.9,54.9,56.8,43.8,13.1,59.1,262,63.3,83.1,74.2,65.0,49.3,62.8,73.9,95.1,93.7,76.5,,30
InternVL3-1B,0.94B,Yes,68.9,69.7,43.0,78.4,23.7,68.1,37.2,62.1,68.0,66.4,72.3,69.9,1912.4,43.2,52.3,52.7,58.7,22.4,46.9,272,21.4,89.5,63.5,57.0,58.1,58.7,71.2,91.7,89.6,75.0,,30
InternLM-XComposer2,7B,Yes,69.7,81.2,47.5,48.2,20.9,71.8,41.0,72.6,79.4,77.1,80.7,78.1,2220.4,41.4,56.2,55.7,46.7,12.2,59.8,151,62.9,83.0,71.2,63.8,,58.0,74.9,96.7,96.5,69.7,71.1,30
InternVL3-2B,2.09B,Yes,74.2,78.6,53.1,75.3,27.9,76.0,41.9,72.1,79.0,77.0,80.8,79.0,2186.4,48.7,61.1,59.1,67.0,26.7,57.6,274,19.1,90.1,71.5,65.1,63.4,64.8,75.0,95.8,95.1,78.6,,30
Janus-1.3B,2.1B,Yes,59.1,52.8,40.2,22.2,12.8,22.5,30.3,58.8,52.2,50.4,52.0,50.2,1578.5,31.2,37.6,46.6,37.5,6.3,33.7,209,11.7,84.1,54.0,41.8,40.0,38.5,62.9,75.1,71.9,50.7,,30
InternVL3-8B,7.94B,Yes,76.3,85.1,55.4,77.8,26.5,85.8,49.0,85.2,82.7,81.9,83.6,82.3,2422.0,62.2,68.7,64.9,82.8,30.4,70.5,277,38.9,90.4,75.9,71.4,67.1,69.4,77.1,97.9,97.9,82.1,,30
SmolVLM-500M,0.51B,Yes,54.7,59.2,39.8,10.6,4.3,62.8,31.1,43.1,35.4,33.7,53.8,50.0,1394.8,33.6,38.3,41.9,25.7,6.5,39.8,208,0.0,84.3,49.8,41.0,43.7,41.9,62.2,80.0,76.5,60.2,,30
Qwen-VL,9.6B,Yes,52.2,57.7,27.9,6.1,11.6,59.0,29.9,12.9,7.8,24.2,32.2,41.6,482.7,29.6,32.5,42.9,13.0,10.7,18.1,12,67.5,70.0,46.0,37.8,,40.1,52.5,61.1,57.7,63.1,63.3,30
SmolVLM2,2.25B,Yes,73.8,69.7,42.3,23.1,7.7,68.7,40.6,68.1,55.0,53.2,71.4,69.1,1792.5,41.6,46.0,54.2,34.9,13.4,51.5,256,0.0,85.1,71.0,57.5,57.8,60.5,71.3,89.6,88.4,73.0,,30
SmolVLM-256M,0.26B,Yes,36.1,46.4,39.1,5.1,4.5,55.6,27.9,39.7,15.1,14.5,41.7,39.4,1261.1,28.9,34.5,30.4,21.1,4.2,37.0,191,0.0,76.6,41.9,32.2,25.3,20.4,54.0,73.8,72.1,50.2,,30
SmolVLM2-256M,0.26B,Yes,45.3,39.2,39.8,0.0,7.1,59.6,24.3,43.2,2.1,1.9,11.9,11.0,1236.5,29.0,30.9,35.8,25.5,4.9,34.0,220,0.2,54.3,42.4,35.2,34.4,33.0,42.7,58.8,56.3,50.4,,30
SmolVLM2-500M,0.51B,Yes,61.2,57.3,40.7,13.3,5.3,59.6,27.7,50.0,34.9,33.4,53.1,49.8,1448.3,34.1,38.2,44.7,29.9,7.7,37.5,212,0.0,82.7,56.5,49.9,47.9,47.7,62.2,76.5,73.5,60.3,,30
Phi-4-MultiModal,5.57B,Yes,75.4,83.0,42.1,55.5,22.9,83.0,40.5,66.5,77.7,74.9,83.4,79.5,1961.7,56.0,58.9,60.4,51.9,14.3,65.8,261,60.2,85.9,77.7,64.1,58.1,68.5,73.2,97.3,96.3,76.9,,30
MUG-U-7B,7B,No,78.5,88.9,48.6,52.7,16.3,86.0,51.3,70.2,83.2,81.6,83.9,81.9,2342.9,54.3,66.6,64.7,63.0,26.3,74.8,283,80.9,87.3,76.9,71.6,65.9,69.3,77.3,98.8,98.2,82.4,,30
Gemma3-12B,12.2B,Yes,70.3,78.1,50.3,49.0,21.4,37.2,47.2,93.0,77.1,74.3,77.5,74.9,2053.5,55.2,56.1,59.7,64.9,23.8,56.1,245,17.7,85.5,73.3,59.1,57.6,65.2,71.0,83.9,85.2,66.5,,30
InternVL2-26B,26B,Yes,74.3,84.5,56.9,73.9,27.1,85.1,51.5,93.1,82.1,80.9,83.4,81.5,2259.8,50.7,61.0,60.4,60.0,17.7,59.6,251,43.4,86.4,73.2,68.1,,67.6,76.3,97.4,97.9,82.5,87.6,30
H2OVL-2B,2.2B,Yes,70.7,70.9,46.4,23.7,9.2,59.4,35.9,65.7,62.9,61.0,72.1,68.7,1767.5,36.3,48.9,51.3,41.1,11.4,56.9,251,70.3,86.6,73.4,62.9,54.0,59.5,71.8,92.1,90.6,74.8,,30
H2OVL-800M,0.83B,Yes,63.1,53.5,40.2,21.4,17.4,43.4,29.6,44.8,42.2,41.5,56.3,53.9,1468.9,32.1,39.5,47.0,30.2,9.1,39.8,272,50.0,85.3,62.1,52.7,46.2,47.6,60.2,69.8,66.9,69.0,,30
Ovis1.5-Llama3-8B,8B,Yes,75.1,82.5,39.8,36.7,16.0,76.4,42.3,79.9,77.6,75.1,80.8,78.1,1948.5,48.3,57.3,60.7,50.9,17.3,63.3,239,71.2,88.5,76.0,64.2,,66.4,75.4,88.8,89.3,74.0,74.3,30
LLaVA-Next-Llama3,8B,Yes,69.7,72.8,40.7,32.7,17.7,68.7,33.1,66.0,70.1,67.5,74.8,72.1,1908.0,43.1,43.9,53.1,44.4,13.5,37.7,170,60.7,87.1,66.2,58.4,,56.9,72.5,73.1,73.7,65.3,48.9,30
LLaVA-Next-Interleave-7B-DPO,8B,Yes,70.2,72.9,49.5,42.4,11.2,49.0,36.8,69.9,73.7,70.9,73.8,71.7,1664.4,40.1,45.3,52.8,39.8,6.4,35.3,202,57.3,84.8,76.1,60.4,,49.4,71.3,72.0,69.0,56.5,29.3,30
Mantis-8B-Idefics2,8B,Yes,72.9,67.3,50.1,38.6,17.2,63.8,37.1,60.6,67.9,65.8,76.0,73.6,1805.9,41.6,44.8,54.3,39.3,7.6,41.2,226,62.6,84.5,76.3,59.5,,54.0,71.2,81.8,77.4,63.5,15.7,30
Falcon2-VLM-11B,11.4B,Yes,63.5,77.9,42.1,30.2,14.0,64.0,35.9,65.5,67.2,65.6,70.7,68.7,1873.0,39.1,45.4,52.7,37.2,8.3,37.6,173,61.4,87.4,64.2,61.2,54.8,57.3,71.2,73.9,73.7,62.9,,30
Gemma3-4B,4.3B,Yes,67.0,70.7,43.9,36.9,18.4,33.7,40.8,92.5,69.7,66.8,69.6,66.1,1744.1,47.3,47.9,53.9,57.8,22.1,46.3,227,27.6,84.6,65.0,55.6,52.7,60.7,65.5,77.1,76.0,57.7,,30
InternVL3-14B,15.1B,Yes,76.3,86.0,59.9,77.1,28.8,87.8,55.9,84.4,84.4,83.3,85.7,83.9,2462.3,64.8,68.9,69.7,80.5,31.1,74.4,272,30.5,89.4,76.7,69.8,67.7,70.1,77.5,98.6,98.4,82.2,,30
Vintern-3B-beta,3.7B,Yes,71.7,69.1,43.5,39.2,9.4,68.3,43.2,62.2,69.4,66.2,70.6,67.0,1782.6,46.7,47.5,55.8,37.8,23.4,43.6,181,56.8,87.4,65.5,58.2,54.8,64.1,70.0,75.0,73.6,67.2,,30
MolmoE-1B,7.2B,Yes,63.3,71.0,40.7,17.5,12.4,48.0,38.0,66.7,46.6,44.2,64.6,60.5,1471.1,33.9,43.1,49.3,37.8,9.4,37.6,198,28.6,86.6,64.9,57.5,52.5,57.0,67.9,87.5,86.9,61.5,,30
LLaVA-OneVision-7B (SI),8B,Yes,73.5,82.8,46.1,44.7,13.9,80.9,47.5,77.6,78.0,75.8,80.5,77.7,2146.3,46.8,56.7,59.7,50.6,15.9,58.6,198,64.7,87.2,74.7,69.5,56.7,65.7,75.4,86.6,87.6,78.5,,30
Monkey-Chat,9.8B,Yes,63.2,68.5,41.2,48.0,37.8,59.5,39.3,60.5,67.5,65.1,72.4,69.6,1887.4,40.7,40.7,53.3,41.0,10.9,36.0,173,64.4,83.5,63.4,52.4,,54.9,68.9,82.4,80.8,65.5,65.7,30
Slime-13B,13B,Yes,63.0,66.0,40.8,20.0,8.9,25.2,32.1,68.8,58.7,56.8,65.4,62.9,1794.3,36.4,39.4,50.7,38.9,7.7,34.5,50,51.0,83.9,64.1,53.2,43.4,47.8,68.7,75.3,73.4,51.7,,30
Pixtral-12B,13B,Yes,73.1,79.0,50.4,37.6,17.8,72.2,47.0,81.5,74.4,70.1,77.9,75.3,1921.7,51.1,54.5,59.4,58.5,20.2,56.3,219,64.7,84.2,73.4,65.4,57.9,67.4,71.5,87.2,86.6,75.7,,30
Gemini-1.5-Flash,,No,73.6,78.5,57.7,52.4,18.4,29.7,48.5,80.0,78.6,76.7,79.4,77.1,2077.9,58.2,55.8,62.6,63.2,30.5,51.3,226,18.5,88.5,73.7,69.0,70.2,68.6,75.0,83.3,82.9,61.6,,30
Molmo-7B-O,8B,Yes,66.0,75.7,45.8,20.6,14.8,36.5,39.4,72.4,59.4,56.8,72.2,69.1,1714.7,42.2,50.1,52.1,40.6,14.1,43.9,206,15.1,86.7,68.0,62.2,56.1,62.1,72.7,88.8,88.8,59.8,,30
DeepSeek-VL-7B,7.3B,Yes,69.1,65.3,40.9,52.4,28.1,59.1,34.5,77.8,71.4,69.7,73.8,71.7,1765.4,38.3,40.5,53.5,39.7,7.6,37.2,149,67.0,85.6,68.1,54.2,,53.1,70.1,80.9,76.0,64.9,59.1,30
LLaVA-OneVision-0.5B (SI),1B,Yes,58.8,53.5,38.5,25.7,9.3,60.5,31.7,61.7,50.2,47.6,55.8,53.0,1392.9,36.2,37.5,48.3,32.2,10.0,32.7,174,56.9,86.8,53.4,46.1,45.8,45.7,62.1,67.5,63.8,66.3,,30
GPT-4.1-20250414,,No,79.6,85.9,68.5,73.5,21.0,33.3,58.5,105.6,86.8,86.2,86.9,86.9,2337.6,74.0,69.8,71.1,78.8,34.1,70.4,276,18.7,86.4,79.7,78.7,76.0,73.1,78.0,92.8,92.6,71.0,,30
Slime-7B,7B,Yes,66.2,61.9,38.7,25.3,10.8,33.9,32.8,59.4,56.7,54.3,65.8,63.1,1789.7,36.6,37.3,49.2,33.9,7.7,36.9,50,49.0,83.8,60.6,51.9,43.0,47.0,67.0,75.4,73.8,49.7,,30
GPT-4.1-mini-20250414,,No,77.4,76.0,59.0,64.3,23.6,33.7,49.3,99.6,85.5,78.6,86.9,83.2,2110.9,55.0,60.9,63.4,74.3,36.8,70.9,270,26.3,85.6,80.0,77.5,75.0,71.9,77.6,84.7,81.7,64.9,,30
GPT-4.1-nano-20250414,,No,72.9,68.0,45.2,31.2,22.6,30.3,36.9,88.8,65.1,60.4,68.2,64.4,1789.6,57.6,47.5,55.3,62.8,27.6,53.7,223,36.0,83.5,74.8,61.7,64.4,67.0,71.8,77.5,76.8,60.9,,30
Kosmos2,1.7B,Yes,33.2,25.6,34.4,1.4,28.4,5.9,19.8,54.7,0.6,0.9,1.1,1.2,721.1,23.7,24.9,25.5,23.7,2.0,24.5,139,2.9,66.3,37.2,32.7,25.1,25.3,25.1,32.7,33.1,14.7,,30
POINTS-Qwen2.5-7B,8.3B,Yes,76.1,81.2,43.9,52.2,10.9,48.8,45.6,72.3,79.0,76.9,81.4,79.0,2184.1,51.4,60.9,62.3,47.9,13.4,63.1,209,58.1,86.5,77.2,67.8,59.5,65.6,74.8,94.8,95.2,60.0,,30
POINTS-Yi-1.5-9B,9.5B,Yes,75.0,78.8,45.0,48.6,11.4,58.0,47.8,70.6,80.3,77.8,81.6,79.0,2028.4,47.6,56.9,61.5,49.2,11.6,63.2,214,56.3,86.2,76.0,66.3,59.4,64.2,74.8,95.3,94.6,60.6,,30
Ovis1.6-Gemma2-9B,10.2B,Yes,74.4,84.4,48.5,51.8,14.6,81.1,52.2,89.0,82.0,79.5,83.4,81.5,2206.1,55.0,62.9,64.9,65.0,19.2,67.3,263,71.2,87.8,76.7,70.7,56.8,67.9,76.5,93.4,93.6,78.2,,30
Eagle-X5-7B,9B,Yes,68.4,73.6,22.4,28.4,49.6,66.4,35.4,59.5,62.5,60.5,70.1,67.4,1866.0,37.6,41.7,52.6,33.3,13.0,38.8,150,64.3,89.3,67.7,63.8,44.5,57.5,73.6,71.2,71.8,70.5,,30
Slime-8B,8B,Yes,70.5,68.5,38.8,27.6,7.8,39.2,31.8,62.4,66.0,63.7,72.8,69.0,1895.7,38.8,43.5,50.2,40.0,6.8,41.8,50,47.9,85.1,67.2,58.0,43.9,50.2,69.8,78.0,78.8,49.4,,30
Moondream1,1.9B,Yes,59.6,49.1,40.3,9.2,62.2,14.4,29.2,53.6,19.8,18.6,62.3,59.6,1506.3,31.4,35.3,45.4,26.0,1.4,24.7,155,59.6,86.5,58.8,50.7,47.9,38.2,63.6,62.1,59.2,46.1,,30
PaliGemma-3B-mix-448,3B,Yes,59.8,68.3,40.7,29.6,58.9,33.7,32.2,36.9,63.6,62.8,71.0,68.4,1686.1,34.9,48.3,46.9,33.1,9.2,28.5,241,57.8,87.5,63.3,55.2,,49.8,69.6,94.3,93.3,68.1,44.8,30
Molmo-7B-D,8B,Yes,73.8,81.0,49.7,36.7,12.1,43.7,46.4,33.6,75.2,71.6,73.6,70.3,1853.2,49.1,56.1,56.3,41.5,13.1,48.7,226,15.9,89.0,74.0,71.1,58.2,67.6,74.6,58.1,55.6,70.3,,30
Mantis-8B-Fuyu,8B,Yes,60.3,46.8,38.2,11.8,18.5,53.3,29.8,46.8,33.4,31.8,46.6,44.1,1321.6,30.8,34.4,42.2,27.3,5.3,30.2,161,54.2,84.0,67.0,43.7,,33.6,59.3,56.8,54.5,49.0,12.0,30
LLaVA-Next-Vicuna-7B,7.1B,Yes,65.8,67.0,41.6,24.3,12.8,54.3,27.6,72.7,62.3,59.4,69.2,66.5,1769.1,37.6,37.6,50.3,40.2,12.3,32.5,184,63.8,87.5,64.3,57.8,,51.6,69.6,70.3,68.5,63.8,53.1,30
Yi-VL-6B,6.6B,Yes,69.8,59.8,,42.9,27.5,15.5,36.0,51.9,66.6,63.1,68.4,65.2,1915.1,40.3,37.7,52.8,32.1,7.4,29.7,140,49.5,82.5,66.3,53.5,,46.2,67.5,72.6,71.7,44.8,5.9,29
TransCore-M,13.4B,Yes,70.4,64.1,42.7,69.8,17.8,28.0,27.3,66.8,80.7,67.9,82.3,67.7,1885.0,41.0,35.6,54.1,36.9,9.6,32.5,183,60.9,87.1,62.0,57.1,,51.1,72.0,74.9,74.4,55.2,,29
Qwen2-VL-72B,73.4B,Yes,79.4,88.3,60.5,69.8,18.5,88.2,58.7,77.1,86.7,85.8,86.9,86.1,2504.2,64.3,68.6,71.2,73.9,29.6,69.7,267,73.7,87.2,80.3,76.7,,72.3,77.9,91.2,91.6,85.5,,29
CogVLM-17B-Chat,17B,Yes,66.9,63.3,,19.0,21.3,65.5,35.4,73.9,55.9,54.0,65.8,63.6,1736.6,37.3,39.9,50.8,54.5,9.2,35.3,218,66.3,88.0,62.6,60.3,,54.6,68.8,66.2,65.6,78.2,86.0,29
MiniCPM-V-2,2.8B,Yes,68.0,62.9,41.2,45.3,40.7,55.6,36.1,69.2,66.5,64.5,69.1,67.0,1808.2,38.2,39.1,53.5,41.0,9.3,39.8,245,55.8,86.3,67.0,55.8,,51.9,67.1,80.7,76.3,73.2,,29
IDEFICS2-8B,8B,Yes,70.5,72.3,45.6,37.6,21.3,,39.1,49.1,68.6,65.1,75.7,72.7,1847.6,45.2,49.5,56.8,34.0,10.8,52.5,232,,86.2,68.7,60.7,53.4,56.6,71.9,88.7,86.5,68.9,31.6,29
Bunny-Llama3-8B,8B,Yes,72.6,69.4,41.6,44.1,24.8,30.1,37.7,63.6,74.4,71.7,78.3,74.1,1987.7,43.4,45.4,54.8,39.1,13.1,35.2,193,63.8,86.9,70.7,60.4,,54.9,73.5,79.1,78.6,62.1,,29
LLaVA-v1.5-13B,13.4B,Yes,64.8,61.1,40.9,20.8,20.7,18.2,24.5,66.1,58.2,55.5,69.2,65.8,1780.8,37.0,34.3,52.1,35.6,6.8,27.7,165,63.4,88.4,60.9,55.3,,44.6,68.2,72.6,69.5,48.9,,29
Cambrian-8B,8B,Yes,68.6,74.6,44.9,23.7,12.0,72.6,30.6,71.0,67.9,64.9,74.6,71.6,1802.9,41.8,50.7,,48.0,14.2,48.1,209,66.0,86.4,70.6,60.0,,59.7,73.3,81.0,80.5,72.6,83.6,29
InternVL2-40B,40B,Yes,75.2,86.8,,80.2,19.8,83.8,56.5,101.4,86.4,84.9,86.8,85.1,2293.1,55.2,64.7,66.1,61.8,20.4,64.3,246,42.9,81.9,75.5,70.1,,69.2,77.4,98.5,97.8,83.5,93.1,29
Ovis1.6-Gemma2-27B,28.9B,Yes,76.5,86.6,48.0,53.1,14.5,85.3,54.1,91.0,84.3,81.5,84.8,82.8,2336.1,60.3,63.5,68.2,68.0,26.5,70.2,272,75.1,87.7,77.7,72.7,,71.1,76.8,94.7,94.2,80.9,,29
Kimi-VL-A3B-Instruct,16.4B,Yes,76.1,84.5,56.4,72.0,12.6,87.7,48.4,85.6,81.9,80.6,82.1,80.9,2175.3,57.8,62.0,64.8,66.1,24.1,66.0,244,82.0,88.5,76.9,68.8,,68.9,76.8,95.3,95.3,92.5,,29
