model,parameters,open_source,ABench,AI2D,BLINK,CCBench,COCO_VAL,ChartQA_TEST,HallusionBench,LLaVABench,MMBench_TEST_CN,MMBench_TEST_CN_V11,MMBench_TEST_EN,MMBench_TEST_EN_V11,MME,MMMU_VAL,MMStar,MMT-Bench_VAL,MMVet,MTVQA,MathVista,OCRBench,OCRVQA_TESTCORE,POPE,QBench,RealWorldQA,SEEDBench2,SEEDBench2_Plus,SEEDBench_IMG,ScienceQA_TEST,ScienceQA_VAL,TextVQA_VAL,VCR,coverage
LLaVA-Next-Yi-34B,34.8B,Yes,,78.9,,49.2,12.8,67.6,34.8,81.8,79.0,77.1,81.1,78.5,2006.5,48.8,51.6,58.6,50.7,,40.5,178,66.3,89.6,,66.0,59.0,65.9,75.7,82.0,78.8,69.3,,26
granite-vision-3.3-2b,2.98B,Yes,72.6,76.6,41.6,24.9,45.8,,47.0,66.9,67.3,65.0,73.5,71.3,1813.8,39.0,51.9,54.6,45.0,17.0,60.2,252,,85.2,73.0,66.0,,63.9,72.1,90.7,89.9,,,26
LLaVA-OneVision-0.5B,1B,Yes,67.6,59.4,40.1,28.0,11.2,,27.9,59.9,55.5,53.9,61.6,59.6,1448.5,32.7,37.7,51.6,31.5,8.6,35.9,203,,87.8,62.5,51.8,,52.6,66.6,67.5,64.6,,,26
InternLM-XComposer2-4KHD,7B,Yes,,81.0,48.9,47.1,20.2,,42.5,61.8,78.1,76.1,80.2,77.0,2130.4,39.7,55.3,56.3,48.2,,59.5,217,,2.9,,63.3,57.4,65.2,74.6,96.3,96.3,,22.7,25
LLaVA-InternLM2-7B (QLoRA),8.1B,Yes,,63.6,,42.5,18.6,16.0,26.7,56.2,71.7,70.0,73.3,71.9,1699.5,40.1,38.3,53.2,35.9,,28.9,220,58.0,87.8,,56.1,,46.7,71.2,73.7,70.9,49.3,,25
InternLM-XComposer,8B,Yes,,56.9,17.8,49.6,38.3,,36.0,53.8,72.4,45.5,74.4,6.4,1874.2,35.6,6.9,3.2,35.2,,29.9,180,54.5,70.9,,10.2,,3.6,66.1,89.8,88.0,38.5,,25
LLaVA-InternLM2-20B (QLoRA),20.2B,Yes,,65.4,,46.3,17.9,17.6,26.4,63.7,73.7,70.5,75.1,72.3,1867.1,39.4,41.9,53.3,37.2,,28.5,219,61.2,88.1,,56.9,,47.6,70.2,73.7,72.7,50.4,,25
Qwen-VL-Max,,No,,75.7,43.6,63.5,12.3,,41.2,82.3,75.7,73.7,77.6,75.4,2281.7,52.0,49.5,58.3,61.8,,43.6,252,55.0,71.9,,61.3,,61.6,72.7,80.0,79.8,8.6,,25
WeMM,7B,Yes,72.7,77.9,,48.0,15.5,,47.5,70.9,76.8,73.6,79.3,77.8,2150.1,45.3,57.0,57.5,45.0,12.3,54.9,199,,86.7,72.3,68.1,,65.0,75.9,83.3,80.5,,,25
"GPT-4o (0513, detail-high)",,No,79.2,84.6,68.0,71.2,,,55.0,102.0,82.1,81.5,83.4,83.0,2310.3,69.2,63.9,67.3,69.1,31.2,61.8,270,,85.6,78.9,75.4,,72.0,77.1,90.7,89.7,,,25
mPLUG-Owl2,8.2B,Yes,,55.7,,31.0,25.8,22.8,29.4,59.9,60.3,58.0,66.0,63.5,1786.4,34.7,34.8,50.4,35.7,,25.5,141,65.2,84.6,,50.8,,44.4,64.5,69.5,69.5,56.4,,25
IDEFICS-9B-Instruct,9B,Yes,,42.2,38.3,7.8,72.7,,27.3,45.0,25.2,19.5,45.3,35.2,1177.3,18.4,21.6,45.3,30.0,,25.1,158,0.0,81.9,,42.1,,35.4,45.0,53.5,51.6,1.0,,25
InstructBLIP-7B,8B,Yes,,40.6,,12.7,56.8,10.9,31.2,59.8,23.9,18.4,33.9,38.4,1391.4,30.6,32.7,35.1,33.1,,24.6,172,50.2,86.1,,36.9,,29.5,44.5,54.1,54.7,33.6,,25
Aria,25.3B,Yes,71.3,82.7,52.9,48.4,9.5,,44.8,81.4,78.3,76.6,80.0,78.2,2195.1,54.0,60.7,61.5,56.9,,62.4,220,,,75.3,68.4,,66.4,72.7,97.7,97.2,,,24
Claude3.5-Sonnet,,No,,80.2,28.2,54.1,15.5,,49.9,81.0,80.7,79.3,79.7,77.7,1920.0,65.9,62.2,61.8,66.0,,61.8,262,,73.6,,60.1,,71.7,72.2,88.9,89.3,,74.6,24
XGen-MM-Instruct-DPO-v1.5,4.4B,Yes,,72.0,43.9,32.7,30.6,,37.0,69.8,68.7,65.5,78.0,75.2,1790.5,40.1,47.2,55.5,41.0,7.0,40.1,216,,86.9,,61.6,,55.4,71.8,85.5,81.9,,,24
XGen-MM-Instruct-Interleave-v1.5,4.4B,Yes,,74.2,45.8,33.5,12.9,,39.8,66.7,67.1,64.2,78.3,75.3,1808.7,40.9,48.4,55.9,40.2,7.5,40.6,226,,87.2,,61.2,,55.9,72.2,88.3,85.7,,,24
"GPT-4v (0409, detail-high)",,No,70.4,78.6,58.3,57.3,,,43.9,99.8,80.2,79.5,81.0,80.0,2070.2,61.7,56.0,62.7,67.5,,55.2,177,,81.8,75.7,68.0,,69.3,73.0,84.8,84.5,,,24
Phi-3.5-Vision,4B,Yes,,77.8,58.3,27.6,23.3,,40.5,63.7,66.1,62.8,76.0,72.1,1838.1,44.6,47.5,53.6,43.2,,43.3,204,,82.8,,53.6,,62.2,69.7,88.9,90.3,,57.9,24
"GPT-4o-mini (0718, detail-high)",,No,,77.8,53.6,61.4,21.2,,46.1,98.7,75.9,75.0,77.6,77.1,2003.4,60.0,54.8,61.2,66.9,,52.5,261,,81.9,,67.1,,61.4,72.8,85.4,85.6,,87.8,24
InternLM-XComposer2.5,8B,Yes,,81.6,,49.6,10.1,,43.1,70.2,80.9,78.8,82.0,80.1,2233.1,42.9,59.9,57.1,49.3,,64.0,201,,87.9,,67.8,,66.5,75.4,96.6,96.1,78.2,63.0,24
MiniGPT-4-v2,8B,Yes,,30.5,,1.4,12.6,,30.0,28.8,4.7,1.4,9.4,5.0,968.4,25.0,21.3,22.1,10.5,,24.0,6,0.0,60.0,,30.7,,23.3,29.4,54.7,54.1,0.0,,24
OpenFlamingo v2,9B,Yes,,31.7,,6.3,6.4,,29.4,34.2,14.4,13.3,5.7,2.4,607.2,28.8,26.9,28.6,23.3,,19.9,45,8.9,52.6,,35.2,,28.7,28.8,44.8,45.7,16.3,,24
ShareCaptioner,8B,Yes,,56.7,,40.4,8.8,,34.2,47.4,60.9,57.8,66.5,63.9,1642.5,36.3,38.4,47.6,30.1,,29.5,168,50.2,84.4,,52.7,,42.4,61.2,82.3,81.0,38.0,,24
MiniGPT-4-v1-7B,8B,Yes,,28.4,,1.8,19.6,,31.9,45.1,11.9,10.7,23.0,30.9,1047.4,23.6,16.3,16.5,15.6,,21.3,109,0.3,34.6,,21.3,,15.2,31.6,39.6,39.0,0.6,,24
VisualGLM,8B,Yes,,41.2,,17.3,28.6,,25.0,37.3,35.5,34.6,37.6,36.7,738.1,29.9,25.9,30.6,14.8,,23.9,113,0.0,70.4,,39.9,,30.2,47.0,56.1,53.4,0.0,,24
MMAlaya,7.8B,Yes,,42.3,,28.6,31.2,10.2,32.9,50.2,58.6,56.6,58.7,55.7,1356.0,32.0,34.3,,22.2,,22.9,133,51.0,82.7,,45.2,,32.9,57.5,60.9,57.7,27.1,,24
Emu2_chat,37B,Yes,,49.7,,18.8,78.2,26.8,29.5,56.4,45.9,44.3,63.6,61.3,1678.0,35.0,40.7,,31.0,,31.3,216,41.0,88.0,,57.3,,42.1,68.9,68.2,65.3,67.6,,24
PandaGPT-13B,14B,Yes,,50.3,,6.7,19.9,,20.0,37.1,32.0,29.2,42.5,39.7,1072.2,32.9,25.6,32.4,19.6,,25.6,8,0.0,75.1,,32.8,,29.6,47.6,63.2,60.9,0.0,,24
Llama-3.2-90B-Vision-Instruct,88.6B,Yes,,69.5,48.0,54.1,12.1,,44.1,86.5,77.8,75.2,80.4,79.5,1741.0,60.3,55.3,60.4,64.1,,58.2,262,,86.3,,68.2,,68.2,76.8,87.1,83.5,,,23
Llama-3-VILA1.5-8B,8B,Yes,,58.8,39.5,23.7,11.9,,35.3,71.7,60.4,57.9,62.1,57.9,1698.5,37.4,39.7,48.7,41.9,,37.4,185,,83.3,,43.4,,45.2,65.0,73.2,71.7,,,23
IDEFICS-80B-Instruct,80B,Yes,,54.8,,10.6,76.1,,23.4,56.9,38.1,44.4,54.6,11.3,1518.2,24.0,26.1,,39.7,,28.9,156,0.0,66.0,,49.0,,41.5,52.0,61.8,59.9,0.0,,23
VILA1.5-13B,13B,Yes,,69.9,48.1,24.3,10.6,,39.3,73.5,67.7,65.2,74.4,71.8,1718.2,41.1,44.2,53.8,45.0,,42.3,182,,85.0,,53.3,,50.2,72.7,79.1,77.7,,,23
Parrot-7B,8B,Yes,,60.9,39.9,41.8,43.5,,35.2,55.3,71.7,69.2,72.0,68.8,1818.1,36.7,39.1,52.2,29.8,,27.2,172,,85.3,,54.8,,47.5,70.1,70.2,70.2,,,23
Llama-3-MixSense-v1.1,8B,Yes,,72.4,45.2,30.0,19.4,,36.2,62.9,72.9,70.1,77.0,73.7,1761.0,39.3,53.1,55.2,41.1,,50.4,185,,89.7,,63.5,,59.7,75.2,83.1,82.7,,,23
Yi-Vision,,No,,78.2,56.7,50.6,12.7,,50.3,76.0,78.6,76.1,78.1,76.6,2203.7,60.3,60.5,62.9,57.6,,57.8,257,,84.1,,60.9,,62.1,73.6,88.5,86.5,,,23
RBDash-v1.5,79B,Yes,79.4,85.0,47.0,55.7,,,49.1,80.8,83.0,80.3,84.6,82.3,2292.6,59.9,63.5,65.9,50.0,,61.5,244,,,78.5,68.1,,67.3,77.5,90.6,90.9,,,23
VILA1.5-3B,3B,Yes,,57.9,39.7,24.1,25.4,,31.2,65.5,56.2,54.5,64.5,63.1,1647.5,34.2,40.6,49.0,38.8,,31.8,177,,86.8,,53.2,,41.4,68.0,69.2,63.9,,,23
XVERSE-V-13B,13B,Yes,,70.6,,46.9,44.6,,33.3,62.9,74.6,60.5,75.4,72.1,1909.9,44.1,49.3,29.3,37.8,,45.1,196,,29.3,,60.8,,35.3,72.4,86.8,86.6,,,22
"GPT-4v (1106, detail-low)",,No,,75.9,,46.5,18.0,,46.5,93.1,74.4,72.2,77.0,75.3,1771.5,53.8,49.7,,56.8,,49.4,164,0.0,75.4,,56.5,,,71.6,82.1,84.6,0.0,,22
GLM-4v-Plus,,No,,85.1,,62.5,18.3,,55.6,92.9,82.1,81.0,81.4,79.7,2194.9,61.7,66.3,64.0,69.1,,68.8,262,,86.9,,70.5,,71.8,76.5,97.1,96.8,,,22
VILA1.5-40B,40B,Yes,,77.8,,50.8,9.5,67.2,40.9,75.6,81.2,79.4,81.7,79.9,2209.1,55.1,55.2,,51.2,,49.7,233,,88.8,,65.4,,,76.3,85.4,83.9,68.8,,22
OmChat-v2.0-13B,13B,Yes,,77.8,44.7,54.5,14.8,,48.4,66.1,81.4,79.5,82.6,79.6,2130.1,49.6,58.2,61.0,52.6,,57.2,237,,,,69.8,,63.4,76.2,89.6,89.8,,,22
LLaVA-v1-7B,7.2B,Yes,,48.3,,12.7,27.0,,21.6,57.2,38.7,35.8,43.8,41.6,1075.5,34.1,27.1,27.7,28.3,,25.4,163,,75.9,,45.8,,31.2,50.4,61.8,61.9,,,22
Qwen-VL-Plus,,No,,65.7,,55.1,47.0,,40.6,73.7,70.7,68.2,67.0,64.3,2229.8,39.8,39.7,,55.7,,38.2,256,38.8,85.4,,44.6,,,65.7,73.4,71.6,8.4,,22
CongRong,,No,,82.4,,69.6,15.1,,50.6,80.7,81.9,80.4,82.8,80.9,2278.3,48.3,60.6,60.2,57.5,,61.1,274,,86.6,,66.9,,67.5,76.8,95.9,95.3,,,22
InternVL3-9B,9.14B,Yes,,85.2,,78.0,23.6,,50.8,83.8,83.6,82.4,83.9,81.9,2368.0,59.4,67.4,65.3,78.4,,69.0,276,,89.6,,71.0,,,76.8,98.1,97.5,,,21
RekaEdge,,No,,67.4,41.1,24.7,,,35.1,81.6,59.9,56.6,66.4,63.6,1641.6,42.4,39.6,53.9,40.5,,37.5,205,,83.3,,57.0,,,68.4,73.5,71.0,,,21
Gemini-1.0-Pro,,No,,72.9,,52.5,33.2,,45.7,79.9,74.3,69.2,73.6,70.2,2148.9,49.0,38.6,,58.6,,46.5,211,12.3,,,60.4,,,70.7,81.4,80.1,36.9,,21
RekaFlash,,No,,75.6,31.9,33.7,,,39.2,86.3,74.1,71.4,76.8,74.5,1861.1,44.8,50.2,52.0,52.5,,47.7,224,,80.6,,55.9,,,,85.5,85.4,,,20
LLaVA-OneVision-72B,73B,Yes,,86.2,,63.9,16.5,,47.9,86.3,85.3,83.9,85.8,85.0,2257.4,56.6,65.8,,60.6,,68.4,215,,86.6,,73.9,,,77.5,90.2,89.7,,,20
Step-1.5V,,No,,87.5,,74.3,24.5,,54.3,99.1,84.5,83.5,85.3,80.4,2186.6,61.2,65.1,,71.3,,69.4,277,,85.4,,69.7,,,75.7,94.3,94.4,,,20
Claude3-Sonnet,,No,,69.9,39.3,27.8,,,41.3,73.2,64.2,63.5,67.8,64.2,1625.9,47.4,44.2,10.2,51.7,,45.0,215,,68.2,,50.7,,27.1,65.0,,,,,20
GLM-4v,,No,,76.1,,63.9,13.8,,44.9,87.5,79.4,78.0,81.3,79.2,2163.7,45.6,53.2,,60.7,,45.9,259,,89.9,,67.3,,,75.1,97.4,98.6,,,20
Claude3-Haiku,,No,,65.6,37.5,24.5,,,39.2,67.4,57.2,56.2,60.7,58.0,1453.2,49.7,38.1,50.4,46.4,,42.6,225,,74.4,,45.5,,61.7,63.3,,,,,20
Claude3-Opus,,No,,70.6,,26.3,,,37.8,73.9,59.2,58.1,63.3,60.1,1586.8,54.9,45.7,,51.7,,46.1,251,,74.0,,48.4,,,64.0,,,,11.5,18
"GPT-4v (0409, detail-low)",,No,,76.1,,55.5,,,41.6,95.3,79.1,78.2,80.8,79.3,2037.8,62.3,52.9,,63.6,,51.8,169,,,,61.4,,,72.0,,,,8.4,17
DeepSeek-VL2-Small,16.1B,Yes,,81.7,,56.7,,,43.8,86.1,81.0,79.1,82.8,80.7,2137.6,49.7,57.5,,58.6,,61.9,256,,,,69.4,,,76.9,,,,,16
Claude3.5-Sonnet-20241022,,No,,81.2,,56.1,,,55.5,89.4,83.5,82.5,82.6,80.9,2110.0,66.4,65.1,,70.1,,65.3,267,,,,65.8,,,61.7,,,,,16
DeepSeek-VL2,27.5B,Yes,,83.8,,55.7,,,45.3,89.7,82.4,80.1,84.1,82.3,2230.2,54.0,61.9,,60.0,,63.9,256,,,,70.1,,,77.0,,,,,16
DeepSeek-VL2-Tiny,3.4B,Yes,,74.6,,40.0,,,39.6,75.7,72.1,70.1,74.6,71.7,1905.5,42.9,49.8,,52.5,,54.0,268,,,,64.3,,,72.3,,,,,16
"GPT-4v (1106, detail-high)",,No,,71.4,,50.4,,,39.3,88.0,63.3,65.5,65.4,65.4,1790.3,59.3,50.4,,49.0,,48.4,217,,,,63.0,,,72.3,,,,,16
Moondream2,1.9B,Yes,,58.8,,15.5,,,33.0,61.4,28.7,28.5,70.0,67.7,1528.3,29.3,42.1,,40.4,,33.8,209,,,,49.3,,,,,,,,15
InternVL2.5-78B,78B,Yes,,89.1,63.8,,,,57.4,,88.5,87.8,88.2,87.3,2467.6,70.0,69.5,,16.9,,70.6,243,,,,,,,,,,,,13
Gemini-2.0-Pro,,No,,84.8,,,,,49.8,100.8,,83.5,84.3,82.4,2428.7,72.6,68.5,,70.4,,71.3,268,,,,74.8,,,,,,,,13
LLaVA-OneVision-72B (SI),73B,Yes,,85.5,,,,,49.0,90.4,,81.9,,83.3,2319.4,55.7,65.3,,59.1,,67.1,232,,,,73.7,,,,,,,,12
Molmo-72B,73.3B,Yes,,83.4,,,,,46.6,82.4,,79.6,,79.4,1992.0,52.8,63.3,,61.1,,55.2,229,,,,73.7,,,,,,,,12
bailingMM-mini,17B,No,,83.5,,,,,45.4,71.5,,82.2,,82.1,2079.8,50.0,61.3,,59.2,,70.8,260,,,,57.0,,,,,,,,12
Gemini-2.0-Flash,,No,,83.1,,,,,58.0,97.7,,71.6,,70.4,2386.1,69.9,69.4,,73.6,,70.4,266,,,,72.3,,,,,,,,12
Ola-7b,8.88B,Yes,,86.1,,60.2,,,53.5,,85.1,83.2,87.4,85.5,,57.0,70.8,,78.6,,68.4,257,,,,,,,,,,,,12
TeleMM,,No,,88.5,,,,,60.6,76.5,,78.3,,81.6,2359.6,66.6,70.8,,75.7,,75.7,273,,,,,,,,,,,,11
MiMo-VL-7B,8.31B,Yes,,82.8,,,,,63.8,,,79.8,,81.5,,26.4,38.9,,72.2,,77.4,267,,,,58.6,,71.5,,,,,,11
InternVL2.5-8B,8B,Yes,,84.6,,,,,49.0,,,81.7,,83.2,,56.2,63.2,,62.8,,64.5,234,,,,69.5,,,,,,,,10
granite-vision-3.1-2b-preview,2.98B,Yes,,77.7,,,,,41.4,,,64.4,,74.1,,35.4,56.1,,39.6,,60.5,250,,,,,,,,,,,,9
SenseNova-V6-5-Pro,,No,,90.2,,,,,66.7,,,87.0,,87.6,,77.0,76.1,,89.4,,82.8,281,,,,,,,,,,,,9
BlueLM-2.6-3B,3B,No,,86.1,,,,,63.1,,,86.4,,86.4,,62.4,80.1,,78.5,,82.3,289,,,,,,,,,,,,9
WeThink-Qwen2.5VL-7B,8.29B,Yes,,84.0,,,,,55.3,,,81.1,,82.5,,61.0,64.2,,73.2,,71.6,273,,,,,,,,,,,,9
HawkVL-2B,2.44B,Yes,,66.6,,,,,40.9,,,63.8,,65.3,,43.6,48.1,,38.9,,43.3,269,,,,,,,,,,,,9
GPT-5-mini-20250807,,No,,86.7,,,,,62.5,,,86.1,,86.2,,78.7,73.2,,74.6,,79.2,272,,,,,,,,,,,,9
Flash-VL-2B-Dynamic-ISS,2.53B,Yes,,74.4,,,,,48.5,,,74.4,,77.1,,45.6,53.8,,48.6,,61.7,263,,,,,,,,,,,,9
valley2_dpo,8.88B,Yes,,83.0,,,,,52.4,,,81.6,,82.1,,58.4,61.9,,62.3,,68.7,266,,,,,,,,,,,,9
Long-VITA-16K,14B,Yes,,80.9,,,,,45.5,,,75.9,,76.8,,53.9,60.1,,31.0,,64.8,216,,,,,,,,,,,,9
QTuneVL1.5-3B,3.75B,Yes,,81.2,,,,,49.0,,,77.1,,77.5,,53.4,57.1,,62.8,,64.4,255,,,,,,,,,,,,9
GPT-5-nano-20250807,,No,,81.4,,,,,60.9,,,79.6,,78.9,,72.6,68.3,,67.4,,73.1,231,,,,,,,,,,,,9
GPT-5-20250807,,No,,89.5,,,,,65.2,,,86.4,,86.8,,81.8,75.7,,77.6,,81.9,272,,,,,,,,,,,,9
R-4B,4.82B,Yes,,86.2,,,,,60.0,,,81.8,,83.7,,64.7,72.6,,76.2,,78.0,254,,,,,,,,,,,,9
QTuneVL1.5-2B,2.09B,Yes,,78.6,,,,,43.4,,,76.9,,78.6,,48.7,60.8,,65.9,,56.1,280,,,,,,,,,,,,9
VARCO-VISION-2.0-14B,15.2B,Yes,,85.7,,,,,53.2,,,83.0,,84.4,,61.9,66.9,,68.9,,73.2,254,,,,,,,,,,,,9
VARCO-VISION-2.0-1.7B,2.12B,Yes,,75.2,,,,,38.6,,,70.8,,74.9,,44.2,52.5,,53.4,,55.8,256,,,,,,,,,,,,9
Ovis-U1-3B,3.64B,Yes,,85.6,,,,,55.8,,,77.6,,78.3,,50.6,61.3,,66.0,,68.9,266,,,,,,,,,,,,9
Qwen2.5-VL-32B,33.5B,Yes,,85.4,,,,,58.4,,,83.2,,84.7,,68.9,70.3,,72.9,,72.8,259,,,,,,,,,,,,9
BlueLM-2.5-3B,2.9B,No,,83.1,,,,,60.0,,,75.5,,73.7,,58.7,67.8,,61.7,,76.7,265,,,,,,,,,,,,9
Kimi-VL-A3B-Thinking-2506,16.4B,Yes,,83.1,,,,,59.8,,,79.8,,80.4,,62.9,70.0,,77.0,,79.5,255,,,,,,,,,,,,9
valley2,8.88B,Yes,,82.8,,,,,47.6,,,80.7,,81.2,,56.8,60.0,,62.1,,61.7,261,,,,,,,,,,,,9
ChatGPT-4o-latest,,No,,86.3,,,,,57.0,,,85.2,,86.8,,72.9,70.2,,76.9,,71.6,274,,,,,,,,,,,,9
CongRong-v2.0,,No,,90.0,,,,,63.2,,,88.3,,87.9,,75.6,75.3,,83.9,,76.8,281,,,,,,,,,,,,9
Gemini-1.5-Pro-002,,No,,83.3,,,,,55.9,,,81.1,,84.4,,68.6,67.1,,74.6,,67.9,246,,,,,,,,,,,,9
InternVL2.5-38B,38B,Yes,,87.6,,,,,57.9,,,85.6,,85.3,,63.2,68.5,,67.2,,72.4,236,,,,,,,,,,,,9
InternVL2.5-26B,26B,Yes,,86.2,,,,,55.8,,,84.7,,84.4,,56.0,66.5,,65.4,,68.2,254,,,,,,,,,,,,9
InternVL2.5-4B,4B,Yes,,81.4,,,,,46.6,,,77.6,,78.8,,51.8,58.7,,61.5,,60.8,235,,,,,,,,,,,,9
InternVL2.5-2B,2B,Yes,,74.9,,,,,42.3,,,69.4,,72.4,,43.2,54.3,,62.6,,51.1,238,,,,,,,,,,,,9
InternVL2.5-1B,1B,Yes,,69.0,,,,,39.4,,,64.8,,68.2,,41.2,51.3,,47.2,,47.1,233,,,,,,,,,,,,9
VITA,47B,Yes,,72.8,,,,,41.0,,,68.7,,70.8,,47.6,46.6,,43.2,,44.5,215,,,,,,,,,,,,9
SenseNova,,No,,87.8,,,,,57.4,,,85.2,,86.1,,69.6,72.7,,78.2,,78.4,282,,,,,,,,,,,,9
LLaVA-CoT,11B,Yes,,78.7,,,,,47.7,,,71.4,,74.4,,53.7,54.9,,59.5,,52.5,244,,,,,,,,,,,,9
"GPT-4o (1120, detail-high)",,No,,84.9,,,,,56.2,,,83.9,,84.8,,70.7,65.1,,74.5,,60.0,270,,,,,,,,,,,,9
Gemini-1.5-Flash-002,,No,,84.4,,,,,53.9,,,81.0,,81.6,,60.7,64.4,,69.7,,63.7,223,,,,,,,,,,,,9
Vintern-1B-v2,3.7B,Yes,,56.5,,,,,37.7,,,52.2,,54.6,,31.6,39.0,,26.4,,33.1,196,,,,,,,,,,,,9
QTuneVL1-2B,2.21B,Yes,,75.2,,,,,42.4,,,69.6,,72.6,,44.7,53.6,,63.0,,48.8,244,,,,,,,,,,,,9
JT-VL-Chat-V3.0,,No,,88.3,,,,,64.4,,,86.6,,88.5,,68.7,82.1,,80.3,,72.8,300,,,,,,,,,,,,9
GPT-4.5,,No,,87.2,,,,,60.0,,,83.3,,83.5,,72.1,69.3,,75.3,,70.5,282,,,,,,,,,,,,9
Ristretto-3B,3.84B,Yes,,84.2,,,,,50.2,,,79.1,,81.2,,51.3,62.8,,60.7,,67.6,268,,,,,,,,,,,,9
Valley-Eagle,8.9B,Yes,,82.5,,,,,48.0,,,79.9,,81.4,,57.0,60.9,,61.3,,64.6,265,,,,,,,,,,,,9
Gemini-2.5-Pro,,No,,89.5,,,,,64.1,,,88.1,,88.5,,74.7,73.6,,83.3,,80.9,261,,,,,,,,,,,,9
Kimi-VL-A3B-Thinking,16.4B,Yes,,77.5,,,,,52.3,,,64.1,,72.5,,50.7,60.8,,67.4,,67.6,251,,,,,,,,,,,,9
SAIL-VL-1.5-2B,2.47B,Yes,,83.7,,,,,50.0,,,77.5,,79.4,,46.4,62.6,,58.8,,67.0,280,,,,,,,,,,,,9
SAIL-VL-1.5-8B,7.95B,Yes,,87.5,,,,,54.5,,,81.7,,82.5,,54.3,69.7,,69.0,,73.4,272,,,,,,,,,,,,9
SAIL-VL-1.6-8B,8.33B,Yes,,87.5,,,,,54.4,,,83.7,,84.3,,55.4,69.5,,73.3,,74.2,281,,,,,,,,,,,,9
SenseNova-V6-Pro,,No,,89.2,,,,,67.1,,,87.6,,88.4,,70.4,73.7,,88.2,,76.9,276,,,,,,,,,,,,9
KoreaDeep-VLM-OCR-32B,32B,No,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,1
